Rank,City,Population (2016),Area
1,Toronto,"2,731,571",630.2 km2
2,Ottawa,"934,243","2,790.3 km2"
3,Mississauga,"721,599",292.43 km2
4,Brampton,"593,638",266.36 km2
5,Hamilton,"536,917","1,117.29 km2"
6,London,"383,822",420.35 km2
7,Markham,"328,966",212.35 km2
8,Vaughan,"306,233",273.56 km2
9,Kitchener,"233,222",136.77 km2
10,Windsor,"217,188",146.38 km2
